Rank,Song,Artist,Last_Week,Peak_Position,Weeks_on_Chart,Date
94,My Eyes,Travis Scott,RE- ENTRY,19,5,2024-01-13
95,Turks & Caicos,Rod Wave Featuring 21 Savage,RE- ENTRY,24,13,2024-01-13
96,Tourniquet,Zach Bryan,RE- ENTRY,20,9,2024-01-13
97,Y Lloro,Junior H,RE- ENTRY,97,2,2024-01-13
98,Murder On The Dancefloor,Sophie Ellis-Bextor,NEW,98,1,2024-01-13
99,Amargura,Karol G,RE- ENTRY,85,6,2024-01-13
100,Wildflowers And Wild Horses,Lainey Wilson,NEW,100,1,2024-01-13
1,Lovin On Me,Jack Harlow,1,1,9,2024-01-20
2,Cruel Summer,Taylor Swift,2,1,36,2024-01-20
3,Greedy,Tate McRae,3,3,17,2024-01-20
4,I Remember Everything,Zach Bryan Featuring Kacey Musgraves,5,1,20,2024-01-20
5,Paint The Town Red,Doja Cat,4,1,23,2024-01-20
6,Snooze,SZA,6,2,56,2024-01-20
7,Water,Tyla,7,7,15,2024-01-20
8,Lose Control,Teddy Swims,12,8,22,2024-01-20
9,Agora Hills,Doja Cat,10,9,16,2024-01-20
10,Last Night,Morgan Wallen,8,1,50,2024-01-20
11,Fast Car,Luke Combs,9,2,42,2024-01-20
12,Thinkin' Bout Me,Morgan Wallen,11,7,45,2024-01-20
13,Is It Over Now? (Taylor's Version) [From The Vault],Taylor Swift,13,1,11,2024-01-20
14,Stick Season,Noah Kahan,19,14,15,2024-01-20
15,FTCU,Nicki Minaj,17,15,5,2024-01-20
16,What Was I Made For?,Billie Eilish,20,14,25,2024-01-20
17,White Horse,Chris Stapleton,18,12,25,2024-01-20
18,Rich Baby Daddy,Drake Featuring Sexyy Red & SZA,16,11,14,2024-01-20
19,Lil Boo Thang,Paul Russell,14,14,17,2024-01-20
20,Flowers,Miley Cyrus,15,1,47,2024-01-20
21,World On Fire,Nate Smith,25,21,11,2024-01-20
22,La Diabla,Xavi,34,22,4,2024-01-20
23,Need A Favor,Jelly Roll,22,13,39,2024-01-20
24,Fukumean,Gunna,24,4,28,2024-01-20
25,Everybody,Nicki Minaj Featuring Lil Uzi Vert,27,25,5,2024-01-20
26,First Person Shooter,Drake Featuring J. Cole,29,1,14,2024-01-20
27,Vampire,Olivia Rodrigo,21,1,25,2024-01-20
28,Save Me,Jelly Roll With Lainey Wilson,28,19,27,2024-01-20
29,Houdini,Dua Lipa,26,11,9,2024-01-20
30,Pretty Little Poison,Warren Zeiders,33,30,18,2024-01-20
31,Used To Be Young,Miley Cyrus,30,8,20,2024-01-20
32,Dance The Night,Dua Lipa,23,6,28,2024-01-20
33,Kill Bill,SZA,31,1,52,2024-01-20
34,Good Good,"Usher, Summer Walker & 21 Savage",32,25,22,2024-01-20
35,My Love Mine All Mine,Mitski,37,26,16,2024-01-20
36,Exes,Tate McRae,39,34,8,2024-01-20
37,I Know ?,Travis Scott,40,11,22,2024-01-20
38,On My Mama,Victoria Monet,35,35,17,2024-01-20
39,Truck Bed,HARDY,36,36,30,2024-01-20
