Rank,Song,Artist,Last_Week,Peak_Position,Weeks_on_Chart,Date
2,Lovin On Me,Jack Harlow,1,1,15,2024-03-02
3,Lose Control,Teddy Swims,5,2,28,2024-03-02
4,Carnival,¥$: Ye & Ty Dolla $ign Featuring Rich The Kid & Playboi Carti,3,3,2,2024-03-02
5,Beautiful Things,Benson Boone,4,3,5,2024-03-02
6,Snooze,SZA,7,2,62,2024-03-02
7,Cruel Summer,Taylor Swift,6,1,42,2024-03-02
8,Greedy,Tate McRae,9,3,23,2024-03-02
9,I Remember Everything,Zach Bryan Featuring Kacey Musgraves,8,1,26,2024-03-02
10,Agora Hills,Doja Cat,12,7,22,2024-03-02
11,"Yes, And?",Ariana Grande,31,1,6,2024-03-02
12,Stick Season,Noah Kahan,10,10,21,2024-03-02
13,Fast Car,Luke Combs,11,2,48,2024-03-02
14,Water,Tyla,13,7,21,2024-03-02
15,Last Night,Morgan Wallen,14,1,56,2024-03-02
16,Redrum,21 Savage,15,5,6,2024-03-02
17,Thinkin' Bout Me,Morgan Wallen,16,7,51,2024-03-02
18,Is It Over Now? (Taylor's Version) [From The Vault],Taylor Swift,18,1,17,2024-03-02
19,Pretty Little Poison,Warren Zeiders,24,19,24,2024-03-02
20,Flowers,Miley Cyrus,17,1,53,2024-03-02
21,Paint The Town Red,Doja Cat,19,1,29,2024-03-02
22,Houdini,Dua Lipa,25,11,15,2024-03-02
23,Made For Me,Muni Long,32,23,6,2024-03-02
24,Never Lose Me,Flo Milli,21,18,10,2024-03-02
25,La Diabla,Xavi,22,20,10,2024-03-02
26,Where The Wild Things Are,Luke Combs,29,26,14,2024-03-02
27,Training Season,Dua Lipa,NEW,27,1,2024-03-02
28,The Painter,Cody Johnson,35,28,20,2024-03-02
29,Feather,Sabrina Carpenter,42,29,12,2024-03-02
30,What Was I Made For?,Billie Eilish,27,14,31,2024-03-02
31,Rich Baby Daddy,Drake Featuring Sexyy Red & SZA,41,11,20,2024-03-02
32,Whatever She Wants,Bryson Tiller,NEW,32,1,2024-03-02
33,Truck Bed,HARDY,51,33,36,2024-03-02
34,Selfish,Justin Timberlake,37,19,4,2024-03-02
35,Everybody,Nicki Minaj Featuring Lil Uzi Vert,40,24,11,2024-03-02
36,Vampire,Olivia Rodrigo,43,1,31,2024-03-02
37,Wild Ones,Jessie Murph & Jelly Roll,45,35,20,2024-03-02
38,On My Mama,Victoria Monet,44,33,23,2024-03-02
39,Praise Jah In The Moonlight,YG Marley,63,39,4,2024-03-02
40,Save Me,Jelly Roll With Lainey Wilson,47,19,33,2024-03-02
41,Exes,Tate McRae,49,34,14,2024-03-02
42,Breathe,Yeat,NEW,42,1,2024-03-02
43,Dance The Night,Dua Lipa,46,6,34,2024-03-02
44,Need A Favor,Jelly Roll,50,13,45,2024-03-02
45,Surround Sound,JID Featuring 21 Savage & Baby Tate,54,40,15,2024-03-02
46,World On Fire,Nate Smith,56,21,17,2024-03-02
47,Yeah!,Usher Featuring Lil Jon & Ludacris,20,1,47,2024-03-02
48,Burn It Down,Parker McCollum,60,48,18,2024-03-02
49,Good Good,"Usher, Summer Walker & 21 Savage",36,25,28,2024-03-02
50,La Victima,Xavi,58,46,10,2024-03-02
51,End Of Beginning,Djo,NEW,51,1,2024-03-02
52,Get In With Me,BossMan Dlow,59,52,3,2024-03-02
53,Burn,¥$: Ye & Ty Dolla $ign,33,33,2,2024-03-02
54,Man Made A Bar,Morgan Wallen Featuring Eric Church,66,15,22,2024-03-02
55,16 Carriages,Beyonce,38,38,2,2024-03-02
56,First Person Shooter,Drake Featuring J. Cole,57,1,20,2024-03-02
57,Fuk Sumn,¥$: Ye & Ty Dolla $ign,23,23,2,2024-03-02
58,One Of The Girls,"The Weeknd, Jennie & Lily-Rose Depp",72,57,9,2024-03-02
59,Back To Me,¥$: Ye & Ty Dolla $ign,26,26,2,2024-03-02
60,One Call,Rich Amiri,68,60,4,2024-03-02
61,Contigo,Karol G & Tiesto,NEW,61,1,2024-03-02
62,23,Chayce Beckham,77,62,8,2024-03-02
63,Murder On The Dancefloor,Sophie Ellis-Bextor,73,51,8,2024-03-02
64,You Broke My Heart,Drake,74,11,14,2024-03-02
65,Think U The Shit (Fart),Ice Spice,62,37,4,2024-03-02
66,FTCU,Nicki Minaj,71,15,11,2024-03-02
67,FE!N,Travis Scott Featuring Playboi Carti,76,5,17,2024-03-02
68,Hiss,Megan Thee Stallion,48,1,4,2024-03-02
69,I Can Feel It,Kane Brown,82,59,8,2024-03-02
70,Bandit,Don Toliver,78,38,3,2024-03-02
71,Spin You Around (1/24),Morgan Wallen,70,24,4,2024-03-02
72,Soak City,310babii,84,61,10,2024-03-02
73,Forever,Noah Kahan,28,28,2,2024-03-02
74,Mamaw's House,Thomas Rhett Featuring Morgan Wallen,83,55,8,2024-03-02
75,Act II: Date @ 8,4batz Featuring Drake,81,59,7,2024-03-02
76,Igual Que Un Angel,Kali Uchis & Peso Pluma,69,22,6,2024-03-02
77,Nee-nah,"21 Savage, Travis Scott & Metro Boomin",80,10,6,2024-03-02
78,Wildflowers And Wild Horses,Lainey Wilson,RE- ENTRY,78,4,2024-03-02
79,Bellakeo,Peso Pluma & Anitta,87,53,10,2024-03-02
80,Harley Quinn,Fuerza Regida & Marshmello,85,40,16,2024-03-02
81,Standing Next To You,Jung Kook,61,5,16,2024-03-02
82,Bittersweet,Gunna,NEW,82,1,2024-03-02
83,IDGAF,Drake Featuring Yeat,88,2,20,2024-03-02
84,Home,Good Neighbours,RE- ENTRY,77,3,2024-03-02
85,Vultures,¥$: Ye & Ty Dolla $ign Featuring Lil Durk & Bump J,34,34,2,2024-03-02
86,Yeah Glo!,GloRilla,89,86,2,2024-03-02
87,Coal,Dylan Gossett,95,86,7,2024-03-02
88,Mmhmm,BigXthaPlug,96,65,9,2024-03-02
89,Psycho CEO,Yeat,NEW,89,1,2024-03-02
90,Perro Negro,Bad Bunny & Feid,99,20,16,2024-03-02
91,Sensational,Chris Brown Featuring Davido & Lojay,RE- ENTRY,91,3,2024-03-02
92,Oklahoma Smokeshow,Zach Bryan,RE- ENTRY,72,17,2024-03-02
93,Tu Name,Fuerza Regida,NEW,93,1,2024-03-02
94,Do It,¥$: Ye & Ty Dolla $ign,52,52,2,2024-03-02
95,Worth It,Offset & Don Toliver,RE- ENTRY,92,5,2024-03-02
96,Talking,¥$: Ye & Ty Dolla $ign Featuring North West,30,30,2,2024-03-02
97,Monaco,Bad Bunny,97,5,19,2024-03-02
98,Where It Ends,Bailey Zimmerman,RE- ENTRY,32,8,2024-03-02
99,Wondering Why,The Red Clay Strays,RE- ENTRY,71,8,2024-03-02
100,Northern Attitude,Noah Kahan With Hozier,75,37,12,2024-03-02
1,Texas Hold 'Em,Beyonce,1,1,3,2024-03-09
2,Carnival,¥$: Ye & Ty Dolla $ign Featuring Rich The Kid & Playboi Carti,4,2,3,2024-03-09
3,Lovin On Me,Jack Harlow,2,1,16,2024-03-09
4,Beautiful Things,Benson Boone,5,3,6,2024-03-09
5,Lose Control,Teddy Swims,3,2,29,2024-03-09
6,Saturn,SZA,NEW,6,1,2024-03-09
7,I Remember Everything,Zach Bryan Featuring Kacey Musgraves,9,1,27,2024-03-09
8,Greedy,Tate McRae,8,3,24,2024-03-09
9,Snooze,SZA,6,2,63,2024-03-09
10,Cruel Summer,Taylor Swift,7,1,43,2024-03-09
11,Stick Season,Noah Kahan,12,10,22,2024-03-09
12,Agora Hills,Doja Cat,10,7,23,2024-03-09
13,Redrum,21 Savage,16,5,7,2024-03-09
14,Fast Car,Luke Combs,13,2,49,2024-03-09
15,Last Night,Morgan Wallen,15,1,57,2024-03-09
16,Water,Tyla,14,7,22,2024-03-09
17,Thinkin' Bout Me,Morgan Wallen,17,7,52,2024-03-09
18,Is It Over Now? (Taylor's Version) [From The Vault],Taylor Swift,18,1,18,2024-03-09
19,Pretty Little Poison,Warren Zeiders,19,19,25,2024-03-09
20,Made For Me,Muni Long,23,20,7,2024-03-09
21,Flowers,Miley Cyrus,20,1,54,2024-03-09
22,Whatever She Wants,Bryson Tiller,32,22,2,2024-03-09
23,Paint The Town Red,Doja Cat,21,1,30,2024-03-09
24,Houdini,Dua Lipa,22,11,16,2024-03-09
25,The Painter,Cody Johnson,28,25,21,2024-03-09
26,Never Lose Me,Flo Milli,24,18,11,2024-03-09
27,La Diabla,Xavi,25,20,11,2024-03-09
28,"Yes, And?",Ariana Grande,11,1,7,2024-03-09
29,Feather,Sabrina Carpenter,29,29,13,2024-03-09
30,What Was I Made For?,Billie Eilish,30,14,32,2024-03-09
31,Where The Wild Things Are,Luke Combs,26,26,15,2024-03-09
32,Truck Bed,HARDY,33,32,37,2024-03-09
33,Selfish,Justin Timberlake,34,19,5,2024-03-09
34,Praise Jah In The Moonlight,YG Marley,39,34,5,2024-03-09
35,End Of Beginning,Djo,51,35,2,2024-03-09
36,Vampire,Olivia Rodrigo,36,1,32,2024-03-09
37,Wild Ones,Jessie Murph & Jelly Roll,37,35,21,2024-03-09
38,Rich Baby Daddy,Drake Featuring Sexyy Red & SZA,31,11,21,2024-03-09
39,Save Me,Jelly Roll With Lainey Wilson,40,19,34,2024-03-09
40,Everybody,Nicki Minaj Featuring Lil Uzi Vert,35,24,12,2024-03-09
41,On My Mama,Victoria Monet,38,33,24,2024-03-09
42,Exes,Tate McRae,41,34,15,2024-03-09
43,Surround Sound,JID Featuring 21 Savage & Baby Tate,45,40,16,2024-03-09
44,Breathe,Yeat,42,42,2,2024-03-09
45,Need A Favor,Jelly Roll,44,13,46,2024-03-09
46,Man Made A Bar,Morgan Wallen Featuring Eric Church,54,15,23,2024-03-09
47,Dance The Night,Dua Lipa,43,6,35,2024-03-09
48,Burn It Down,Parker McCollum,48,48,19,2024-03-09
49,Get In With Me,BossMan Dlow,52,49,4,2024-03-09
50,World On Fire,Nate Smith,46,21,18,2024-03-09
51,One Of The Girls,"The Weeknd, Jennie & Lily-Rose Depp",58,51,10,2024-03-09
52,You Broke My Heart,Drake,64,11,15,2024-03-09
53,La Victima,Xavi,50,46,11,2024-03-09
54,Holy Smokes,Bailey Zimmerman,NEW,54,1,2024-03-09
55,I Can Feel It,Kane Brown,69,55,9,2024-03-09
56,Love On,Selena Gomez,NEW,56,1,2024-03-09
57,23,Chayce Beckham,62,57,9,2024-03-09
58,FE!N,Travis Scott Featuring Playboi Carti,67,5,18,2024-03-09
59,Soak City,310babii,72,59,11,2024-03-09
60,One Call,Rich Amiri,60,60,5,2024-03-09
61,Training Season,Dua Lipa,27,27,2,2024-03-09
62,Old Days,Lil Durk,NEW,62,1,2024-03-09
63,Burn,¥$: Ye & Ty Dolla $ign,53,33,3,2024-03-09
64,Murder On The Dancefloor,Sophie Ellis-Bextor,63,51,9,2024-03-09
65,Mamaw's House,Thomas Rhett Featuring Morgan Wallen,74,55,9,2024-03-09
66,FTCU,Nicki Minaj,66,15,12,2024-03-09
67,Bandit,Don Toliver,70,38,4,2024-03-09
68,Act II: Date @ 8,4batz Featuring Drake,75,59,8,2024-03-09
69,Wildflowers And Wild Horses,Lainey Wilson,78,69,5,2024-03-09
70,Spin You Around (1/24),Morgan Wallen,71,24,5,2024-03-09
71,Nee-nah,"21 Savage, Travis Scott & Metro Boomin",77,10,7,2024-03-09
72,Think U The Shit (Fart),Ice Spice,65,37,5,2024-03-09
73,Coal,Dylan Gossett,87,73,8,2024-03-09
74,16 Carriages,Beyonce,55,38,3,2024-03-09
75,Harley Quinn,Fuerza Regida & Marshmello,80,40,17,2024-03-09
76,Dont Let Me Go,mgk,NEW,76,1,2024-03-09
77,Wine Into Whiskey,Tucker Wetmore,NEW,77,1,2024-03-09
78,Igual Que Un Angel,Kali Uchis & Peso Pluma,76,22,7,2024-03-09
79,Bellakeo,Peso Pluma & Anitta,79,53,11,2024-03-09
80,Home,Good Neighbours,84,77,4,2024-03-09
81,Where It Ends,Bailey Zimmerman,98,32,9,2024-03-09
82,Fuk Sumn,¥$: Ye & Ty Dolla $ign,57,23,3,2024-03-09
83,Tu Name,Fuerza Regida,93,83,2,2024-03-09
84,Yeah Glo!,GloRilla,86,84,3,2024-03-09
85,Perro Negro,Bad Bunny & Feid,90,20,17,2024-03-09
86,Hiss,Megan Thee Stallion,68,1,5,2024-03-09
87,Standing Next To You,Jung Kook,81,5,17,2024-03-09
88,Mmhmm,BigXthaPlug,88,65,10,2024-03-09
89,Sensational,Chris Brown Featuring Davido & Lojay,91,89,4,2024-03-09
90,Contigo,Karol G & Tiesto,61,61,2,2024-03-09
91,Forever,Noah Kahan,73,28,3,2024-03-09
92,Oklahoma Smokeshow,Zach Bryan,92,72,18,2024-03-09
93,Worth It,Offset & Don Toliver,95,92,6,2024-03-09
94,Monaco,Bad Bunny,97,5,20,2024-03-09
95,Scared To Start,Michael Marcagi,RE- ENTRY,95,2,2024-03-09
96,Let's Go,Key Glock & Young Dolph,NEW,96,1,2024-03-09
97,Back To Me,¥$: Ye & Ty Dolla $ign,59,26,3,2024-03-09
98,Prove It,21 Savage & Summer Walker,RE- ENTRY,43,6,2024-03-09
99,Easy,LE SSERAFIM,NEW,99,1,2024-03-09
100,My Eyes,Travis Scott,RE- ENTRY,19,11,2024-03-09
1,Carnival,¥$: Ye & Ty Dolla $ign Featuring Rich The Kid & Playboi Carti,2,1,4,2024-03-16
2,Lose Control,Teddy Swims,5,2,30,2024-03-16
3,Lovin On Me,Jack Harlow,3,1,17,2024-03-16
4,Beautiful Things,Benson Boone,4,3,7,2024-03-16
5,Texas Hold 'Em,Beyonce,1,1,4,2024-03-16
6,Greedy,Tate McRae,8,3,25,2024-03-16
7,I Remember Everything,Zach Bryan Featuring Kacey Musgraves,7,1,28,2024-03-16
8,Snooze,SZA,9,2,64,2024-03-16
9,Agora Hills,Doja Cat,12,7,24,2024-03-16
10,Cruel Summer,Taylor Swift,10,1,44,2024-03-16
11,Stick Season,Noah Kahan,11,10,23,2024-03-16
12,Redrum,21 Savage,13,5,8,2024-03-16
13,Saturn,SZA,6,6,2,2024-03-16
14,Fast Car,Luke Combs,14,2,50,2024-03-16
15,Last Night,Morgan Wallen,15,1,58,2024-03-16
16,Is It Over Now? (Taylor's Version) [From The Vault],Taylor Swift,18,1,19,2024-03-16
17,Water,Tyla,16,7,23,2024-03-16
18,Thinkin' Bout Me,Morgan Wallen,17,7,53,2024-03-16
19,Whatever She Wants,Bryson Tiller,22,19,3,2024-03-16
20,Made For Me,Muni Long,20,20,8,2024-03-16
21,Flowers,Miley Cyrus,21,1,55,2024-03-16
22,Houdini,Dua Lipa,24,11,17,2024-03-16
23,End Of Beginning,Djo,35,23,3,2024-03-16
24,Pretty Little Poison,Warren Zeiders,19,19,26,2024-03-16
25,Paint The Town Red,Doja Cat,23,1,31,2024-03-16
26,Where The Wild Things Are,Luke Combs,31,26,16,2024-03-16
27,Never Lose Me,Flo Milli,26,18,12,2024-03-16
28,Feather,Sabrina Carpenter,29,28,14,2024-03-16
29,Truck Bed,HARDY,32,29,38,2024-03-16
30,The Painter,Cody Johnson,25,25,22,2024-03-16
31,"Yes, And?",Ariana Grande,28,1,8,2024-03-16
32,Selfish,Justin Timberlake,33,19,6,2024-03-16
33,La Diabla,Xavi,27,20,12,2024-03-16
34,What Was I Made For?,Billie Eilish,30,14,33,2024-03-16
35,Wild Ones,Jessie Murph & Jelly Roll,37,35,22,2024-03-16
36,Save Me,Jelly Roll With Lainey Wilson,39,19,35,2024-03-16
37,Vampire,Olivia Rodrigo,36,1,33,2024-03-16
38,Like What (Freestyle),Cardi B,NEW,38,1,2024-03-16
39,Praise Jah In The Moonlight,YG Marley,34,34,6,2024-03-16
40,Rich Baby Daddy,Drake Featuring Sexyy Red & SZA,38,11,22,2024-03-16
41,On My Mama,Victoria Monet,41,33,25,2024-03-16
42,Exes,Tate McRae,42,34,16,2024-03-16
43,Burn It Down,Parker McCollum,48,43,20,2024-03-16
44,Man Made A Bar,Morgan Wallen Featuring Eric Church,46,15,24,2024-03-16
45,Need A Favor,Jelly Roll,45,13,47,2024-03-16
46,Surround Sound,JID Featuring 21 Savage & Baby Tate,43,40,17,2024-03-16
47,Everybody,Nicki Minaj Featuring Lil Uzi Vert,40,24,13,2024-03-16
48,FE!N,Travis Scott Featuring Playboi Carti,58,5,19,2024-03-16
49,Yeah Glo!,GloRilla,84,49,4,2024-03-16
50,I Can Feel It,Kane Brown,55,50,10,2024-03-16
51,World On Fire,Nate Smith,50,21,19,2024-03-16
52,Breathe,Yeat,44,42,3,2024-03-16
53,Get In With Me,BossMan Dlow,49,49,5,2024-03-16
54,You Broke My Heart,Drake,52,11,16,2024-03-16
55,One Of The Girls,"The Weeknd, Jennie & Lily-Rose Depp",51,51,11,2024-03-16
56,Soak City,310babii,59,56,12,2024-03-16
57,23,Chayce Beckham,57,57,10,2024-03-16
58,Mamaw's House,Thomas Rhett Featuring Morgan Wallen,65,55,10,2024-03-16
59,Training Season,Dua Lipa,61,27,3,2024-03-16
60,One Call,Rich Amiri,60,60,6,2024-03-16
61,Act II: Date @ 8,4batz Featuring Drake,68,59,9,2024-03-16
62,La Victima,Xavi,53,46,12,2024-03-16
63,FTCU,Nicki Minaj,66,15,13,2024-03-16
64,Overcompensate,Twenty One Pilots,NEW,64,1,2024-03-16
65,Wildflowers And Wild Horses,Lainey Wilson,69,65,6,2024-03-16
66,Tu Name,Fuerza Regida,83,66,3,2024-03-16
67,Murder On The Dancefloor,Sophie Ellis-Bextor,64,51,10,2024-03-16
68,Spin You Around (1/24),Morgan Wallen,70,24,6,2024-03-16
69,Scared To Start,Michael Marcagi,95,69,3,2024-03-16
70,Burn,¥$: Ye & Ty Dolla $ign,63,33,4,2024-03-16
71,Sensational,Chris Brown Featuring Davido & Lojay,89,71,5,2024-03-16
72,Harley Quinn,Fuerza Regida & Marshmello,75,40,18,2024-03-16
73,Holy Smokes,Bailey Zimmerman,54,54,2,2024-03-16
74,Doctor (Work It Out),Pharrell & Miley Cyrus,NEW,74,1,2024-03-16
75,Bandit,Don Toliver,67,38,5,2024-03-16
76,Where It Ends,Bailey Zimmerman,81,32,10,2024-03-16
77,Nee-nah,"21 Savage, Travis Scott & Metro Boomin",71,10,8,2024-03-16
78,Home,Good Neighbours,80,77,5,2024-03-16
79,Mmhmm,BigXthaPlug,88,65,11,2024-03-16
80,Bellakeo,Peso Pluma & Anitta,79,53,12,2024-03-16
81,Oklahoma Smokeshow,Zach Bryan,92,72,19,2024-03-16
82,Coal,Dylan Gossett,73,73,9,2024-03-16
83,Perro Negro,Bad Bunny & Feid,85,20,18,2024-03-16
84,My Eyes,Travis Scott,100,19,12,2024-03-16
85,Standing Next To You,Jung Kook,87,5,18,2024-03-16
86,Tucson Too Late,Jordan Davis,NEW,86,1,2024-03-16
87,Igual Que Un Angel,Kali Uchis & Peso Pluma,78,22,8,2024-03-16
88,Forever,Noah Kahan,91,28,4,2024-03-16
89,Contigo,Karol G & Tiesto,90,61,3,2024-03-16
90,Worth It,Offset & Don Toliver,93,90,7,2024-03-16
91,Let's Go,Key Glock & Young Dolph,96,91,2,2024-03-16
92,Fuk Sumn,¥$: Ye & Ty Dolla $ign,82,23,4,2024-03-16
93,Think U The Shit (Fart),Ice Spice,72,37,6,2024-03-16
94,Hiss,Megan Thee Stallion,86,1,6,2024-03-16
95,Prove It,21 Savage & Summer Walker,98,43,7,2024-03-16
96,We Don't Fight Anymore,Carly Pearce Featuring Chris Stapleton,RE- ENTRY,67,10,2024-03-16
97,Creek Will Rise,Conner Smith,RE- ENTRY,89,2,2024-03-16
98,16 Carriages,Beyonce,74,38,4,2024-03-16
99,Wondering Why,The Red Clay Strays,RE- ENTRY,71,9,2024-03-16
100,Wine Into Whiskey,Tucker Wetmore,77,77,2,2024-03-16
1,We Can't Be Friends (Wait For Your Love),Ariana Grande,NEW,1,1,2024-03-23
2,Lose Control,Teddy Swims,2,2,31,2024-03-23
3,Beautiful Things,Benson Boone,4,3,8,2024-03-23
4,Carnival,¥$: Ye & Ty Dolla $ign Featuring Rich The Kid & Playboi Carti,1,1,5,2024-03-23
5,Lovin On Me,Jack Harlow,3,1,18,2024-03-23
6,Texas Hold 'Em,Beyonce,5,1,5,2024-03-23
7,Act II: Date @ 8,4batz Featuring Drake,61,7,10,2024-03-23
8,Greedy,Tate McRae,6,3,26,2024-03-23
9,I Remember Everything,Zach Bryan Featuring Kacey Musgraves,7,1,29,2024-03-23
10,"Yes, And?",Ariana Grande,31,1,9,2024-03-23
11,Snooze,SZA,8,2,65,2024-03-23
12,Agora Hills,Doja Cat,9,7,25,2024-03-23
13,Cruel Summer,Taylor Swift,10,1,45,2024-03-23
14,Saturn,SZA,13,6,3,2024-03-23
15,Stick Season,Noah Kahan,11,10,24,2024-03-23
16,The Boy Is Mine,Ariana Grande,NEW,16,1,2024-03-23
17,Supernatural,Ariana Grande,NEW,17,1,2024-03-23
18,Last Night,Morgan Wallen,15,1,59,2024-03-23
19,Water,Tyla,17,7,24,2024-03-23
20,Fast Car,Luke Combs,14,2,51,2024-03-23
21,End Of Beginning,Djo,23,21,4,2024-03-23
22,Redrum,21 Savage,12,5,9,2024-03-23
23,Eternal Sunshine,Ariana Grande,NEW,23,1,2024-03-23
24,Whatever She Wants,Bryson Tiller,19,19,4,2024-03-23
25,Bye,Ariana Grande,NEW,25,1,2024-03-23
26,Thinkin' Bout Me,Morgan Wallen,18,7,54,2024-03-23
27,Is It Over Now? (Taylor's Version) [From The Vault],Taylor Swift,16,1,20,2024-03-23
28,Don't Wanna Break Up Again,Ariana Grande,NEW,28,1,2024-03-23
29,Made For Me,Muni Long,20,20,9,2024-03-23
30,True Story,Ariana Grande,NEW,30,1,2024-03-23
31,Houdini,Dua Lipa,22,11,18,2024-03-23
32,Paint The Town Red,Doja Cat,25,1,32,2024-03-23
33,Feather,Sabrina Carpenter,28,28,15,2024-03-23
34,Never Lose Me,Flo Milli,27,18,13,2024-03-23
35,What Was I Made For?,Billie Eilish,34,14,34,2024-03-23
36,Truck Bed,HARDY,29,29,39,2024-03-23
37,Imperfect For You,Ariana Grande,NEW,37,1,2024-03-23
38,Intro (End Of The World),Ariana Grande,NEW,38,1,2024-03-23
39,I Wish I Hated You,Ariana Grande,NEW,39,1,2024-03-23
40,Selfish,Justin Timberlake,32,19,7,2024-03-23
41,Yeah Glo!,GloRilla,49,41,5,2024-03-23
42,Pretty Little Poison,Warren Zeiders,24,19,27,2024-03-23
43,Wild Ones,Jessie Murph & Jelly Roll,35,35,23,2024-03-23
44,La Diabla,Xavi,33,20,13,2024-03-23
45,Save Me,Jelly Roll With Lainey Wilson,36,19,36,2024-03-23
46,Where The Wild Things Are,Luke Combs,26,26,17,2024-03-23
47,Exes,Tate McRae,42,34,17,2024-03-23
48,Vampire,Olivia Rodrigo,37,1,34,2024-03-23
49,The Painter,Cody Johnson,30,25,23,2024-03-23
50,FE!N,Travis Scott Featuring Playboi Carti,48,5,20,2024-03-23
51,Man Made A Bar,Morgan Wallen Featuring Eric Church,44,15,25,2024-03-23
52,23,Chayce Beckham,57,52,11,2024-03-23
53,Burn It Down,Parker McCollum,43,43,21,2024-03-23
54,I Can Feel It,Kane Brown,50,50,11,2024-03-23
55,Ordinary Things,Ariana Grande Featuring Nonna,NEW,55,1,2024-03-23
56,Wildflowers And Wild Horses,Lainey Wilson,65,56,7,2024-03-23
57,Praise Jah In The Moonlight,YG Marley,39,34,7,2024-03-23
58,Mamaw's House,Thomas Rhett Featuring Morgan Wallen,58,55,11,2024-03-23
59,Everybody,Nicki Minaj Featuring Lil Uzi Vert,47,24,14,2024-03-23
60,World On Fire,Nate Smith,51,21,20,2024-03-23
61,Surround Sound,JID Featuring 21 Savage & Baby Tate,46,40,18,2024-03-23
62,Soak City,310babii,56,56,13,2024-03-23
63,Get In With Me,BossMan Dlow,53,49,6,2024-03-23
64,One Of The Girls,"The Weeknd, Jennie & Lily-Rose Depp",55,51,12,2024-03-23
65,Breathe,Yeat,52,42,4,2024-03-23
66,You Broke My Heart,Drake,54,11,17,2024-03-23
67,Scared To Start,Michael Marcagi,69,67,4,2024-03-23
68,Training Season,Dua Lipa,59,27,4,2024-03-23
69,Murder On The Dancefloor,Sophie Ellis-Bextor,67,51,11,2024-03-23
70,One Call,Rich Amiri,60,60,7,2024-03-23
71,FTCU,Nicki Minaj,63,15,14,2024-03-23
72,Sensational,Chris Brown Featuring Davido & Lojay,71,71,6,2024-03-23
73,Where It Ends,Bailey Zimmerman,76,32,11,2024-03-23
74,Austin,Dasha,NEW,74,1,2024-03-23
75,Tu Name,Fuerza Regida,66,66,4,2024-03-23
76,La Victima,Xavi,62,46,13,2024-03-23
77,Spin You Around (1/24),Morgan Wallen,68,24,7,2024-03-23
78,Bandit,Don Toliver,75,38,6,2024-03-23
79,Oklahoma Smokeshow,Zach Bryan,81,72,20,2024-03-23
80,Mmhmm,BigXthaPlug,79,65,12,2024-03-23
81,Harley Quinn,Fuerza Regida & Marshmello,72,40,19,2024-03-23
82,Perro Negro,Bad Bunny & Feid,83,20,19,2024-03-23
83,Home,Good Neighbours,78,77,6,2024-03-23
84,Like What (Freestyle),Cardi B,38,38,2,2024-03-23
85,Nee-nah,"21 Savage, Travis Scott & Metro Boomin",77,10,9,2024-03-23
86,Bellakeo,Peso Pluma & Anitta,80,53,13,2024-03-23
87,Holy Smokes,Bailey Zimmerman,73,54,3,2024-03-23
88,Standing Next To You,Jung Kook,85,5,19,2024-03-23
89,Let's Go,Key Glock & Young Dolph,91,89,3,2024-03-23
90,Coal,Dylan Gossett,82,73,10,2024-03-23
91,Burn,¥$: Ye & Ty Dolla $ign,70,33,5,2024-03-23
92,Tucson Too Late,Jordan Davis,86,86,2,2024-03-23
93,Contigo,Karol G & Tiesto,89,61,4,2024-03-23
94,Igual Que Un Angel,Kali Uchis & Peso Pluma,87,22,9,2024-03-23
95,My Eyes,Travis Scott,84,19,13,2024-03-23
96,Back Then Right Now,Tyler Hubbard,NEW,96,1,2024-03-23
97,Tourniquet,Zach Bryan,RE- ENTRY,20,11,2024-03-23
98,Outskirts,Sam Hunt,NEW,98,1,2024-03-23
99,Worth It,Offset & Don Toliver,90,90,8,2024-03-23
100,Fuk Sumn,¥$: Ye & Ty Dolla $ign,92,23,5,2024-03-23
1,Lose Control,Teddy Swims,2,1,32,2024-03-30
2,Beautiful Things,Benson Boone,3,2,9,2024-03-30
3,We Can't Be Friends (Wait For Your Love),Ariana Grande,1,1,2,2024-03-30
4,Lovin On Me,Jack Harlow,5,1,19,2024-03-30
5,Carnival,¥$: Ye & Ty Dolla $ign Featuring Rich The Kid & Playboi Carti,4,1,6,2024-03-30
6,Texas Hold 'Em,Beyonce,6,1,6,2024-03-30
7,I Remember Everything,Zach Bryan Featuring Kacey Musgraves,9,1,30,2024-03-30
8,Greedy,Tate McRae,8,3,27,2024-03-30
9,Enough (Miami),Cardi B,NEW,9,1,2024-03-30
10,Cruel Summer,Taylor Swift,13,1,46,2024-03-30
11,End Of Beginning,Djo,21,11,5,2024-03-30
12,Stick Season,Noah Kahan,15,10,25,2024-03-30
13,Agora Hills,Doja Cat,12,7,26,2024-03-30
14,Snooze,SZA,11,2,66,2024-03-30
15,Never Lose Me,Flo Milli,34,15,14,2024-03-30
16,Last Night,Morgan Wallen,18,1,60,2024-03-30
17,Saturn,SZA,14,6,4,2024-03-30
18,Fast Car,Luke Combs,20,2,52,2024-03-30
19,Act II: Date @ 8,4batz Featuring Drake,7,7,11,2024-03-30
20,Water,Tyla,19,7,25,2024-03-30
21,Thinkin' Bout Me,Morgan Wallen,26,7,55,2024-03-30
22,Redrum,21 Savage,22,5,10,2024-03-30
23,Get It Sexyy,Sexyy Red,NEW,23,1,2024-03-30
24,Whatever She Wants,Bryson Tiller,24,19,5,2024-03-30
